,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Ad Name,Date première diffusion,Date dernière diffusion,Durée (jour),SUM de Impr,SUM de Cost,SUM de Clic,Signup,Total 2-sec views,Total Install,Total Signup,,,,,,,,,,,
2026-01-11,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,69 106,69,200,40,11 222,24,16,,,,,,,,,,,
2026-01-11,7592953639335034888,09/01,03/02,26,59 587,67,150,26,9 149,17,9,,,,,,,,,,,
2026-01-11,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,54 314,63,122,21,13 528,17,4,,,,,,,,,,,
2026-01-11,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,42 055,53,154,19,8 598,14,5,,,,,,,,,,,
2026-01-11,Passe ton permis avec ORNIKAR @Ornikar,09/01,27/01,19,23 511,30,51,5,6 119,3,2,,,,,,,,,,,
2026-01-11,@Ornikar #ornikar #collab #permisdeconduire,09/01,27/01,19,18 351,21,60,3,3 909,3,0,,,,,,,,,,,
2026-01-11,@Ornikar #ornikar,09/01,13/02,36,7 889,11,13,7,1 209,5,2,,,,,,,,,,,
2026-01-12,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,705 548,1 035,1 930,255,144 459,167,88,,,,,,,,,,,
2026-01-12,Allons pour le permis en 2026,09/01,16/04,98,550 579,783,1 580,262,97 860,167,95,,,,,,,,,,,
2026-01-12,#CapCut,01/01,16/02,47,449 709,543,1 518,199,68 183,120,79,,,,,,,,,,,
2026-01-12,_001,04/01,03/04,93,230 414,242,451,79,44 716,56,23,,,,,,,,,,,
2026-01-12,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,89 138,108,199,44,22 163,33,11,,,,,,,,,,,
2026-01-12,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,77 885,87,174,35,13 422,23,12,,,,,,,,,,,
2026-01-12,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,55 302,71,119,21,11 257,15,6,,,,,,,,,,,
2026-01-12,7592953639335034888,09/01,03/02,26,56 705,53,124,27,9 565,17,10,,,,,,,,,,,
2026-01-12,Passe ton permis avec ORNIKAR @Ornikar,09/01,27/01,19,37 504,53,112,22,10 693,16,6,,,,,,,,,,,
2026-01-12,@Ornikar #ornikar,09/01,13/02,36,8 984,14,21,2,1 440,1,1,,,,,,,,,,,
2026-01-12,@Ornikar #ornikar #collab #permisdeconduire,09/01,27/01,19,8 902,11,27,0,2 052,0,0,,,,,,,,,,,
2026-01-13,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,555 051,816,1 422,183,112 327,125,58,,,,,,,,,,,
2026-01-13,Allons pour le permis en 2026,09/01,16/04,98,602 370,814,1 642,261,105 840,172,89,,,,,,,,,,,
2026-01-13,#CapCut,01/01,16/02,47,231 097,313,806,112,37 132,69,43,,,,,,,,,,,
2026-01-13,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,123 705,158,256,52,32 362,38,14,,,,,,,,,,,
2026-01-13,7592953639335034888,09/01,03/02,26,126 304,156,308,55,20 561,35,20,,,,,,,,,,,
2026-01-13,_001,04/01,03/04,93,125 196,152,253,48,25 022,35,13,,,,,,,,,,,
2026-01-13,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,72 869,99,199,18,16 138,14,4,,,,,,,,,,,
2026-01-13,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,60 067,77,155,32,14 479,25,7,,,,,,,,,,,
2026-01-13,Passe ton permis avec ORNIKAR @Ornikar,09/01,27/01,19,24 325,30,57,10,7 414,7,3,,,,,,,,,,,
2026-01-13,@Ornikar #ornikar,09/01,13/02,36,11 770,18,26,1,2 117,1,0,,,,,,,,,,,
2026-01-13,@Ornikar #ornikar #collab #permisdeconduire,09/01,27/01,19,10 739,11,20,0,2 464,0,0,,,,,,,,,,,
2026-01-14,Allons pour le permis en 2026,09/01,16/04,98,596 786,813,1 788,247,105 117,164,83,,,,,,,,,,,
2026-01-14,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,510 992,711,1 386,169,103 032,109,60,,,,,,,,,,,
2026-01-14,#CapCut,01/01,16/02,47,286 314,309,1 016,109,44 588,67,42,,,,,,,,,,,
2026-01-14,_001,04/01,03/04,93,147 184,163,317,62,27 615,43,19,,,,,,,,,,,
2026-01-14,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,126 428,162,314,39,34 098,30,9,,,,,,,,,,,
